benchmark,planner,executor,accuracy_pct,planner_input_tokens_per_task,planner_output_tokens_per_task,planner_cost_per_task_usd,executor_input_tokens_per_task,executor_output_tokens_per_task,executor_cost_per_task_usd,total_cost_per_task_usd,source
IMO-AnswerBench,GPT-5.4,MiniMax-M2.7,56.2,395,1209,0.0191,236251,39750,0.1581,0.1772,imo_db
IMO-AnswerBench,MiniMax-M2.7,Claude-Opus-4.6,74.2,372,2711,0.0045,183752,21546,1.4574,1.4619,imo_db
IMO-AnswerBench,MiniMax-M2.7,GLM-5.1,65.6,392,3772,0.0062,183294,31697,0.2740,0.2802,imo_db
IMO-AnswerBench,MiniMax-M2.7,GPT-5.4,62.5,392,3659,0.0060,7141,2481,0.0551,0.0611,imo_db
IMO-AnswerBench,MiniMax-M2.7,MiniMax-M2.7,59.4,392,3874,0.0064,176961,35421,0.1275,0.1338,imo_db
MCP-Atlas,Claude-Opus-4.6,Claude-Opus-4.6,51.3,3773,2515,0.0491,38320,9580,0.2452,0.2943,metrics_json
MCP-Atlas,Claude-Opus-4.6,GLM-5.1,69.1,916,611,0.0119,212604,53151,0.1905,0.2024,metrics_json
MCP-Atlas,Claude-Opus-4.6,GPT-5.4,68.8,9995,6663,0.1299,114580,28645,0.3094,0.4393,metrics_json
MCP-Atlas,Claude-Opus-4.6,MiniMax-M2.7,66.1,3206,2138,0.0417,147030,36758,0.0635,0.1052,metrics_json
MCP-Atlas,GLM-5.1,Claude-Opus-4.6,79.1,160533,107022,0.2938,29410,7353,0.1882,0.4820,metrics_json
MCP-Atlas,GLM-5.1,GLM-5.1,72.4,10259,977,0.0145,342025,3134,0.1394,0.1539,metrics_json
MCP-Atlas,GLM-5.1,GPT-5.4,68.3,216626,144417,0.3964,42287,10572,0.1142,0.5106,metrics_json
MCP-Atlas,GLM-5.1,MiniMax-M2.7,69.9,10259,693,0.0130,393903,2573,0.0645,0.0775,metrics_json
MCP-Atlas,GPT-5.4,Claude-Opus-4.6,35.4,3783,2522,0.0208,34139,8535,0.2185,0.2393,metrics_json
MCP-Atlas,GPT-5.4,GLM-5.1,67.0,1066,711,0.0059,239995,59999,0.2150,0.2209,metrics_json
MCP-Atlas,GPT-5.4,GPT-5.4,70.7,19921,13281,0.1096,202901,50725,0.5478,0.6574,metrics_json
MCP-Atlas,GPT-5.4,MiniMax-M2.7,80.4,3641,2427,0.0200,148325,37081,0.0641,0.0841,metrics_json
MCP-Atlas,MiniMax-M2.7,Claude-Opus-4.6,70.3,18319,12213,0.0161,66122,16530,0.4232,0.4393,metrics_json
MCP-Atlas,MiniMax-M2.7,GLM-5.1,71.1,10310,1029,0.0066,296005,3036,0.1227,0.1293,metrics_json
MCP-Atlas,MiniMax-M2.7,GPT-5.4,63.2,29268,19512,0.0258,119239,29810,0.3219,0.3477,metrics_json
MCP-Atlas,MiniMax-M2.7,MiniMax-M2.7,68.5,169,640,0.0012,352904,2695,0.0587,0.0599,metrics_json
MedAgentBench,Claude-Opus-4.6,Claude-Opus-4.6,93.3,1819,1213,0.0237,18477,4619,0.1182,0.1419,metrics_json
MedAgentBench,Claude-Opus-4.6,GLM-5.1,93.3,839,559,0.0109,76000,19000,0.0681,0.0790,metrics_json
MedAgentBench,Claude-Opus-4.6,GPT-5.4,83.3,2077,1385,0.0270,23813,5953,0.0643,0.0913,metrics_json
MedAgentBench,Claude-Opus-4.6,MiniMax-M2.7,93.3,1832,1221,0.0238,83997,20999,0.0363,0.0601,metrics_json
MedAgentBench,GLM-5.1,Claude-Opus-4.6,90.0,17515,11677,0.0321,13242,3310,0.0847,0.1168,metrics_json
MedAgentBench,GLM-5.1,GLM-5.1,90.0,3949,447,0.0135,7466,176,0.0080,0.0215,metrics_json
MedAgentBench,GLM-5.1,GPT-5.4,61.7,4737,3158,0.0087,11715,2929,0.0316,0.0403,metrics_json
MedAgentBench,GLM-5.1,MiniMax-M2.7,86.7,3935,420,0.0101,7308,176,0.0026,0.0127,metrics_json
MedAgentBench,GPT-5.4,Claude-Opus-4.6,88.3,1624,1082,0.0089,14651,3663,0.0938,0.1027,metrics_json
MedAgentBench,GPT-5.4,GLM-5.1,93.3,900,600,0.0049,25393,6348,0.0228,0.0277,metrics_json
MedAgentBench,GPT-5.4,GPT-5.4,71.7,1291,861,0.0071,13148,3287,0.0355,0.0426,metrics_json
MedAgentBench,GPT-5.4,MiniMax-M2.7,76.7,857,571,0.0047,34921,8730,0.0151,0.0198,metrics_json
MedAgentBench,MiniMax-M2.7,Claude-Opus-4.6,86.7,3837,2558,0.0034,13847,3462,0.0886,0.0920,metrics_json
MedAgentBench,MiniMax-M2.7,GLM-5.1,80.0,3864,249,0.0059,7256,215,0.0094,0.0153,metrics_json
MedAgentBench,MiniMax-M2.7,GPT-5.4,58.3,2609,1740,0.0023,10631,2658,0.0287,0.0310,metrics_json
MedAgentBench,MiniMax-M2.7,MiniMax-M2.7,73.3,3821,391,0.0060,6763,189,0.0035,0.0095,metrics_json
SWEBench,Claude-Opus-4.6,Claude-Opus-4.6,32.4,808,538,0.0105,8203,2051,0.0525,0.0630,paper_matrix
SWEBench,Claude-Opus-4.6,GPT-5.4,31.7,808,538,0.0105,9259,2315,0.0250,0.0355,paper_matrix
SWEBench,Claude-Opus-4.6,MiniMax-M2.7,60.1,808,538,0.0105,37037,9259,0.0160,0.0265,paper_matrix
SWEBench,GPT-5.4,Claude-Opus-4.6,71.6,909,606,0.0050,8203,2051,0.0525,0.0575,paper_matrix
SWEBench,GPT-5.4,GPT-5.4,68.2,909,606,0.0050,9259,2315,0.0250,0.0300,paper_matrix
SWEBench,GPT-5.4,MiniMax-M2.7,76.2,909,606,0.0050,37037,9259,0.0160,0.0210,paper_matrix
SWEBench,MiniMax-M2.7,Claude-Opus-4.6,19.7,2273,1515,0.0020,8203,2051,0.0525,0.0545,paper_matrix
SWEBench,MiniMax-M2.7,GPT-5.4,48.1,2273,1515,0.0020,9259,2315,0.0250,0.0270,paper_matrix
SWEBench,MiniMax-M2.7,MiniMax-M2.7,20.2,2273,1515,0.0020,37037,9259,0.0160,0.0180,paper_matrix
