benchmark,planner,executor,team_type,accuracy_pct,cost_per_task_usd
FinanceBench,GLM-5.1,Claude-Opus-4.6,heterogeneous,40.7,0.3174
FinanceBench,GLM-5.1,MiniMax-M2.7,heterogeneous,47.3,0.0126
FinanceBench,GLM-5.1,GLM-5.1,homogeneous,54.7,0.0879
IMO-AnswerBench,GPT-5.4,GPT-5.4,homogeneous,54.0,0.1533
IMO-AnswerBench,GPT-5.4,Claude-Opus-4.6,heterogeneous,76.0,0.6302
IMO-AnswerBench,GPT-5.4,MiniMax-M2.7,heterogeneous,56.2,0.1772
IMO-AnswerBench,GPT-5.4,GLM-5.1,heterogeneous,68.8,0.5573
IMO-AnswerBench,Claude-Opus-4.6,GPT-5.4,heterogeneous,71.9,0.1948
IMO-AnswerBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,80.2,1.6040
IMO-AnswerBench,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,71.9,0.2868
IMO-AnswerBench,Claude-Opus-4.6,GLM-5.1,heterogeneous,75.9,0.4939
IMO-AnswerBench,MiniMax-M2.7,GPT-5.4,heterogeneous,62.5,0.0611
IMO-AnswerBench,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,74.2,1.4619
IMO-AnswerBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,59.4,0.1338
IMO-AnswerBench,MiniMax-M2.7,GLM-5.1,heterogeneous,65.6,0.2802
IMO-AnswerBench,GLM-5.1,GPT-5.4,heterogeneous,68.8,0.0887
IMO-AnswerBench,GLM-5.1,Claude-Opus-4.6,heterogeneous,75.4,0.7372
IMO-AnswerBench,GLM-5.1,MiniMax-M2.7,heterogeneous,62.5,0.2086
IMO-AnswerBench,GLM-5.1,GLM-5.1,homogeneous,62.5,0.3329
SWEBench,GPT-5.4,GPT-5.4,homogeneous,68.2,0.0300
SWEBench,GPT-5.4,Claude-Opus-4.6,heterogeneous,71.6,
SWEBench,GPT-5.4,MiniMax-M2.7,heterogeneous,76.2,0.0210
SWEBench,Claude-Opus-4.6,GPT-5.4,heterogeneous,31.7,
SWEBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,32.4,0.0630
SWEBench,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,60.1,
SWEBench,MiniMax-M2.7,GPT-5.4,heterogeneous,48.1,
SWEBench,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,19.7,
SWEBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,20.2,
